,STATION,LAT,LONG
0,BATHURST STATION,43.3958,-79.244
1,BAY STATION,43.4013,-79.2324
2,BAYVIEW STATION,43.4601,-79.2312
3,BESSARION STATION,43.4609,-79.2235
4,BLOOR DANFORTH SUBWAY,43.6706,-79.3865
5,BLOOR STATION,43.4016,-79.2309
6,BROADVIEW STATION,43.4037,-79.213
7,CASTLE FRANK STATION,43.4025,-79.2208
8,CHESTER STATION,43.4042,-79.2109
9,CHRISTIE STATION,43.3951,-79.2506
10,COLLEGE STATION,43.3941,-79.2259
11,COXWELL STATION,43.4103,-79.1923
12,DAVISVILLE STATION,43.4152,-79.235
13,DON MILLS STATION,43.7757,-79.3454
14,DOWNSVIEW PARK STATION,43.4052,-79.2016
15,DUFFERIN STATION,43.4514,-79.2842
16,DUFFERIN STATION,43.3936,-79.2608
17,DUNDAS STATION,43.6563,-79.3805
18,DUNDAS WEST STATION,43.3925,-79.27105
19,DUPONT STATION,43.4029,-79.2425
20,EGLINTON STATION,43.4221,-79.2354
21,EGLINTON WEST STATION,43.4157,-79.2609
22,ELLESMERE STATION,43.4601,-79.1635
23,FINCH STATION,43.7814,-79.415
24,FINCH WEST STATION,43.465,-79.2453
25,GLENCAIRN STATION,43.4232,79.2627
26,GREENWOOD STATION,43.4057,-79.1949
27,HIGH PARK STATION,43.3914,-79.28
28,HIGHWAY 407 STATION,43.4739,-79.3139
29,ISLINGTON STATION,43.3843,-79.3128
30,JANE STATION,43.3859,-79.2902
31,KEELE STATION,43.392,-79.2735
32,KENNEDY BD STATION,43.4357,-79.1549
33,KENNEDY SRT STATION,43.7325,-79.2636
34,KING STATION,43.3857,-79.224
35,KIPLING STATION,43.3814,-79.321
36,LANSDOWNE STATION,43.3933,-79.2634
37,LAWRENCE STATION,43.433,-79.248
38,LAWRENCE EAST STATION,43.4501,-79.1613
39,LAWRENCE WEST STATION,‎43.4257,-79.2639
40,LESLIE STATION,43.4617,-79.2155
41,MAIN STREET STATION,43.41205,-79.1806
42,MCCOWAN STATION,43.4629,-79.1506
43,MIDLAND STATION,43.46135,-79.1619
44,MUSEUM STATION,43.4002,-79.2337
45,NORTH YORK CTR STATION,43.7615,-79.4111
46,OLD MILL STATION,43.39,-79.2941
47,OSGOODE STATION,43.3903,-79.2312
48,OSSINGTON STATION,43.3944,-79.2536
49,PAPE STATION,43.4048,-79.2042
50,PIONEER VILLAGE STATIO,43.4637,-79.3034
51,QUEEN STATION,43.3909,-79.2245
52,QUEEN'S PARK STATION,43.3936,-79.2326
53,ROSEDALE STATION,43.4037,-79.232
54,ROYAL YORK STATION,43.3853,-79.3041
55,RUNNYMEDE STATION,43.3906,-79.2833
56,SCARBOROUGH CTR STATIO,43.4628,-79.1528
57,SHEPPARD WEST STATION,43.7497,-79.4619
58,SHEPPARD-YONGE STATION,43.762,-79.4119
59,SHERBOURNE STATION,43.402,-79.2235
60,SPADINA BD STATION,43.4002,-79.2414
61,SPADINA YUS STATION,43.4002,-79.2414
62,ST ANDREW STATION,43.6477,-79.3848
63,ST CLAIR STATION,43.4116,-79.2335
64,ST CLAIR WEST STATION,43.4116,-79.2335
65,ST GEORGE BD STATION,43.6683,-79.3999
66,ST GEORGE YUS STATION,43.4005,-79.2359
67,ST PATRICK STATION,43.3917,-79.2318
68,SUMMERHILL STATION,43.4056,-79.2327
69,UNION STATION,43.6453,-79.3806
70,VAUGHAN MC STATION,43.4739,-79.3139
71,VICTORIA PARK STATION,43.4142,-79.1719
72,WARDEN STATION,43.4241,-79.1647
73,WELLESLEY STATION,43.3955,-79.2302
74,WILSON STATION,43°44′03,-79.27
75,WOODBINE STATION,43.4111,-79.1846
76,YORK MILLS STATION,43.7449,-79.4067
77,YORK UNIVERSITY STATIO,43.7739,-79.4998
78,YORKDALE STATION,43.7249,79.4488
