date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,latitude,longitude,line_name,month,time_range
2019-01-01,03:03,Tuesday,DUPONT STATION,MUATC,11,16,N,YU,6061,ATC Project,43.4029,-79.2425,Yonge University Spadina,January,9PM-1:30AM
2019-01-01,03:08,Tuesday,EGLINTON WEST STATION,EUATC,11,16,S,YU,5656,ATC RC&S Equipment,43.4157,-79.2609,Yonge University Spadina,January,9PM-1:30AM
2019-01-01,03:09,Tuesday,DUPONT STATION,EUATC,6,11,N,YU,5381,ATC RC&S Equipment,43.4029,-79.2425,Yonge University Spadina,January,9PM-1:30AM
2019-01-01,03:26,Tuesday,ST CLAIR WEST STATION,EUATC,4,9,N,YU,5571,ATC RC&S Equipment,43.4116,-79.2335,Yonge University Spadina,January,9PM-1:30AM
2019-01-01,08:04,Tuesday,DAVISVILLE STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,43.4152,-79.235,Yonge University Spadina,January,5-9AM
2019-01-01,08:07,Tuesday,KEELE STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.392,-79.2735,Bloor Danforth,January,5-9AM
2019-01-01,08:09,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.681111,-79.337778,Bloor Danforth,January,5-9AM
2019-01-01,08:09,Tuesday,KIPLING STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,43.3814,-79.321,Bloor Danforth,January,5-9AM
2019-01-01,08:18,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.681111,-79.337778,Bloor Danforth,January,5-9AM
2019-01-01,08:19,Tuesday,KENNEDY BD STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.4357,-79.1549,Bloor Danforth,January,5-9AM
2019-01-01,08:28,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.681111,-79.337778,Bloor Danforth,January,5-9AM
2019-01-01,08:41,Tuesday,GREENWOOD STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,43.4057,-79.1949,Bloor Danforth,January,5-9AM
2019-01-01,08:44,Tuesday,SHEPPARD WEST STATION,TUNIP,4,9,N,YU,5436,Operator Not In Position,43.7497,-79.4619,Yonge University Spadina,January,5-9AM
2019-01-01,13:03,Tuesday,FINCH STATION,MUSC,4,9,S,YU,5391,Miscellaneous Speed Control,43.7814,-79.415,Yonge University Spadina,January,12-3PM
2019-01-01,16:02,Tuesday,DUPONT STATION,MUATC,6,10,N,YU,6081,ATC Project,43.4029,-79.2425,Yonge University Spadina,January,3-6PM
2019-01-01,17:21,Tuesday,GLENCAIRN STATION,EUBK,4,8,N,YU,5531,Brakes,43.4232,79.2627,Yonge University Spadina,January,3-6PM
2019-01-01,17:31,Tuesday,KIPLING STATION,MUSAN,4,8,E,BD,5359,Unsanitary Vehicle,43.3814,-79.321,Bloor Danforth,January,3-6PM
2019-01-01,17:39,Tuesday,GREENWOOD STATION,MUPAA,5,9,E,BD,5162,Passenger Assistance Alarm Activated - No Trouble Found,43.4057,-79.1949,Bloor Danforth,January,3-6PM
2019-01-01,18:49,Tuesday,BATHURST STATION,MUI,5,9,W,BD,5126,Injured or ill Customer (On Train) - Transported,43.3958,-79.244,Bloor Danforth,January,6-9PM
2019-01-01,19:51,Tuesday,COXWELL STATION,MUO,4,8,E,BD,5131,Miscellaneous Other,43.4103,-79.1923,Bloor Danforth,January,6-9PM
2019-01-01,20:56,Tuesday,COXWELL STATION,TUNIP,4,8,E,BD,5009,Operator Not In Position,43.4103,-79.1923,Bloor Danforth,January,6-9PM
2019-01-02,05:51,Wednesday,WARDEN STATION,PUSNT,4,0,E,BD,5004,Signal Problem - No Trouble,43.4241,-79.1647,Bloor Danforth,January,5-9AM
2019-01-02,06:18,Wednesday,SHEPPARD WEST STATION,EUDO,4,12,N,YU,5456,Door Problems - Faulty Equipment,43.7497,-79.4619,Yonge University Spadina,January,5-9AM
2019-01-02,06:20,Wednesday,CHRISTIE STATION,PUSTS,4,6,E,BD,5158,Signals - Train Stops,43.3951,-79.2506,Bloor Danforth,January,5-9AM
2019-01-02,06:24,Wednesday,GREENWOOD STATION,TUNOA,5,10,E,BD,5280,No Operator Immediately Available ,43.4057,-79.1949,Bloor Danforth,January,5-9AM
2019-01-02,06:43,Wednesday,WILSON STATION,MUSC,5,7,S,YU,5441,Miscellaneous Speed Control,43°44?03,-79.27,Yonge University Spadina,January,5-9AM
2019-01-02,07:03,Wednesday,CASTLE FRANK STATION,SUDP,6,8,E,BD,5218,Disorderly Patron,43.4025,-79.2208,Bloor Danforth,January,5-9AM
2019-01-02,07:04,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,43°44?03,-79.27,Yonge University Spadina,January,5-9AM
2019-01-02,07:20,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,43°44?03,-79.27,Yonge University Spadina,January,5-9AM
2019-01-02,07:48,Wednesday,KIPLING STATION,SUDP,3,6,E,BD,5304,Disorderly Patron,43.3814,-79.321,Bloor Danforth,January,5-9AM
2019-01-02,09:29,Wednesday,DUNDAS STATION,EUPI,3,5,S,YU,5391,Propulsion System,43.6563,-79.3805,Yonge University Spadina,January,9AM-12PM
2019-01-02,11:01,Wednesday,YORK MILLS STATION,MUIR,3,5,N,YU,5886,Injured or ill Customer (On Train) - Medical Aid Refused,43.7449,-79.4067,Yonge University Spadina,January,9AM-12PM
2019-01-02,14:36,Wednesday,SCARB CTR STATION,ERDO,3,8,N,SRT,3027,Door Problems - Faulty Equipment,#N/A,#N/A,Scarborough Rail Transit,January,12-3PM
2019-01-02,16:08,Wednesday,ROSEDALE STATION,TUNOA,3,6,S,YU,5896,No Operator Immediately Available ,43.4037,-79.232,Yonge University Spadina,January,3-6PM
